smiles,class_label,xrn
O=C1C=C(Br)CO1,NEG,1827
Cc1cc2ccccc2o1,NEG,2165
O=C(O)c1cc[nH]n1,NEG,2400
c1ccc(-c2ccsc2)cc1,NEG,2477
c1ccc(OCC2CO2)cc1,NEG,2744
O=c1ccc2ccccc2[nH]1,POS,2855
O=c1ccsc2ccccc12,POS,2899
O=c1cc2cccccc-2o1,POS,2903
Cc1c[nH]nc1C(=O)O,NEG,2908
COC(=O)c1c[nH]cn1,NEG,2962
Cn1cccc2ccnc1-2,POS,2984
CC(=NO)c1cc[nH]n1,NEG,2987
Clc1c[nH]c2ccccc12,POS,3024
c1csc(-c2cccs2)c1,POS,3039
Nc1ccc2cn[nH]c2c1,POS,3216
Nc1ccc2[nH]ncc2c1,POS,3259
N#CC(C#N)=Cc1ccco1,POS,3284
N#CC(C#N)=Cc1cccs1,POS,3286
Nc1cccc2cn[nH]c12,POS,3640
O=c1sc2ccccc2s1,POS,3723
O=C(c1ccccc1)c1cccs1,POS,3929
c1ccc2c(c1)[nH]c1ccccc12,POS,3956
O=C1CO[C@H]2CCCC[C@@H]2N1,NEG,4018
NCc1c[nH]c2ccccc12,NEG,4082
Cc1cccc2c(=O)ccoc12,POS,4171
c1ccc(CCc2ccc[nH]2)cc1,NEG,4257
CCCCc1ccc(=O)oc1C,POS,4345
Cc1nc2ccccc(=O)c2o1,POS,4353
O=C1OCCOc2ccccc21,POS,4464
Cc1ccccc1OCC1CO1,NEG,4585
O=c1[nH]cc(I)c(=O)[nH]1,POS,4891
COC(=O)c1cc(Br)c(Br)[nH]1,NEG,4918
O=c1ccc2ccccc2n1O,POS,5076
Clc1nc(-c2ccccc2)cs1,NEG,5112
C(=NN1CCCCC1)c1ccccc1,POS,5274
c1cnc2c3c(ccc2c1)CCC3,POS,5359
O=C1c2ccccc2-n2nccc21,POS,5667
Cc1cc(Cl)nc(-c2ccccc2)n1,NEG,5889
O=NN1CCCCC1C(=O)O,NEG,6262
C=CCN1CCCc2ccccc21,POS,6617
c1ccc(-c2cnc3ccccc3n2)cc1,POS,6741
O=Cc1ccc2[nH]c3ccccc3c2c1,POS,7030
c1ccc(-c2nc3ccccc3[nH]2)cc1,POS,7087
O=c1c2ccccc2[nH]c2ccccc12,POS,7104
CC1(C)[C@@H]2CC[C@@]1(C)C(=S)NC2=S,POS,7215
c1ccc(-c2cn3ccccc3n2)cc1,POS,7241
c1ccc2nc3c(nc2c1)CCCCCC3,POS,7439
CC1=N/C(=C\c2ccccc2)C(=O)O1,POS,7502
CC(=O)c1cc(/C=C/C(=O)O)oc1C,POS,7970
c1ccc(-c2coc(-c3ccccc3)c2)cc1,NEG,8110
c1cncc(-c2nc3ccccc3[nH]2)c1,POS,8463
COc1ccc(C2SCCS2)cc1,NEG,8563
Cc1ccc(-c2n[nH]c3ccccc23)cc1,POS,8835
C(=NN=Cc1ccco1)c1ccco1,POS,9096
C(=NN=Cc1cccs1)c1cccs1,POS,9098
c1ccc2nc3ccc4ccccc4c3cc2c1,POS,9262
O=C1NC(=O)n2c1cc1ccccc12,POS,9301
O=c1ccc2ccc(O)c(O)c2o1,POS,9372
C=CCNC(=S)Nc1nc(C)cs1,NEG,9389
OC(c1ccc(Cl)cc1)c1cccs1,NEG,9413
Cc1oc(/C=C/C(=O)O)cc1C(=O)O,POS,9568
O=C(CC(=O)c1cccs1)c1ccccn1,POS,9899
Cc1ccc(/C=C/c2ccc(C=O)o2)o1,POS,10000
CN1c2ccccc2Sc2ccccc21,POS,10384
CCOc1cc2c(cc1OC)C(=O)NCC2,POS,10479
c1cncc(N=NNc2cccnc2)c1,POS,10518
O=c1c2ccccc2ncn1-c1ccccc1,POS,10672
Nc1nnnn1N=Cc1ccccc1,POS,11275
