smiles,solvent_smiles,log10_mec
O=C1C=C(Br)CO1,CO,4.128011332575975
Cc1cc2ccccc2o1,CO,4.180011119057718
O=C(O)c1cc[nH]n1,CO,3.863322860120456
c1ccc(-c2ccsc2)cc1,CCO,4.16999753706657
c1ccc(-c2ccsc2)cc1,CO,4.149988456491476
c1ccc(OCC2CO2)cc1,CO,3.089905111439398
O=c1ccc2ccccc2[nH]1,ClCCl,3.8981764834976764
O=c1ccc2ccccc2[nH]1,CO,3.7299742856995555
O=c1ccc2ccccc2[nH]1,CO,3.7699678013294426
O=c1ccc2ccccc2[nH]1,CO,3.839980557678343
O=c1ccc2ccccc2[nH]1,O,3.8987251815894934
O=c1ccsc2ccccc12,ClCCl,3.863322860120456
O=c1ccsc2ccccc12,CCO,4.02938377768521
O=c1ccsc2ccccc12,CCCCCC,4.250005028486895
O=c1ccsc2ccccc12,CO,3.9200189160289147
O=c1cc2cccccc-2o1,CC#N,4.312177356439778
O=c1cc2cccccc-2o1,C1CCCCC1,4.339451441306441
O=c1cc2cccccc-2o1,CO,4.364550995353972
Cc1c[nH]nc1C(=O)O,CO,3.864451747158183
COC(=O)c1c[nH]cn1,CO,4.0
Clc1c[nH]c2ccccc12,CO,4.309630167425898
c1csc(-c2cccs2)c1,C1COCCO1,3.342422680822206
c1csc(-c2cccs2)c1,ClCCl,4.095866453478543
c1csc(-c2cccs2)c1,ClC(Cl)Cl,4.096910013008056
c1csc(-c2cccs2)c1,NC=O,4.56466606425209
c1csc(-c2cccs2)c1,CC#N,4.109983294819893
c1csc(-c2cccs2)c1,ClC(Cl)Cl,4.139879086401237
c1csc(-c2cccs2)c1,C1CCCCC1,4.121887985103681
c1csc(-c2cccs2)c1,ClCCl,4.447158031342219
c1csc(-c2cccs2)c1,CN(C)C=O,4.096214585346405
c1csc(-c2cccs2)c1,C1COCCO1,4.146128035678238
c1csc(-c2cccs2)c1,CCO,4.109983294819893
c1csc(-c2cccs2)c1,OCC(O)CO,3.7649229846498886
c1csc(-c2cccs2)c1,CCCCCCC,4.123198075031999
c1csc(-c2cccs2)c1,CCCCCC,4.1401936785786315
c1csc(-c2cccs2)c1,CO,4.514547752660286
c1csc(-c2cccs2)c1,C1CCOC1,4.230448921378274
c1csc(-c2cccs2)c1,Cc1ccccc1,4.068185861746161
Nc1ccc2cn[nH]c2c1,O,4.360006132229098
Nc1ccc2cn[nH]c2c1,CC#N,4.049996727620201
Nc1ccc2cn[nH]c2c1,CC#N,3.8599784416420206
Nc1ccc2cn[nH]c2c1,CCOCC,4.049996727620201
Nc1ccc2cn[nH]c2c1,CCO,3.839980557678343
Nc1ccc2cn[nH]c2c1,CO,3.909983694939844
Nc1ccc2cn[nH]c2c1,CO,3.749968083509403
Nc1ccc2[nH]ncc2c1,O,3.7299742856995555
Nc1ccc2[nH]ncc2c1,CC#N,3.6200318951262975
Nc1ccc2[nH]ncc2c1,CO,3.5199591807520685
N#CC(C#N)=Cc1ccco1,CO,4.48572142648158
N#CC(C#N)=Cc1cccs1,CO,4.40823996531185
Nc1cccc2cn[nH]c12,O,3.6840370374865197
Nc1cccc2cn[nH]c12,O,3.9139727115509713
Nc1cccc2cn[nH]c12,CC#N,3.8090207204836726
Nc1cccc2cn[nH]c12,CCO,3.7349597612724454
Nc1cccc2cn[nH]c12,CCOCC,3.8239955911559678
Nc1cccc2cn[nH]c12,CCCCCCC,3.1950689964685903
Nc1cccc2cn[nH]c12,CO,3.765966424785714
O=c1sc2ccccc2s1,CO,4.7099988280251885
O=C(c1ccccc1)c1cccs1,C1CCCCC1,4.109983294819893
O=C(c1ccccc1)c1cccs1,CO,3.681241237375587
c1ccc2c(c1)[nH]c1ccccc12,O,3.5199591807520685
c1ccc2c(c1)[nH]c1ccccc12,O,4.732393759822968
c1ccc2c(c1)[nH]c1ccccc12,CC#N,4.954242509439325
c1ccc2c(c1)[nH]c1ccccc12,ClC(Cl)Cl,2.571708831808688
c1ccc2c(c1)[nH]c1ccccc12,C1CCCCC1,4.812913356642856
c1ccc2c(c1)[nH]c1ccccc12,ClCCl,5.096910013008056
c1ccc2c(c1)[nH]c1ccccc12,CCOCC,3.5399538416563967
c1ccc2c(c1)[nH]c1ccccc12,CS(C)=O,3.9138138523837167
c1ccc2c(c1)[nH]c1ccccc12,C1COCCO1,3.5299434016586693
c1ccc2c(c1)[nH]c1ccccc12,CCO,4.740362689494244
c1ccc2c(c1)[nH]c1ccccc12,CCO,4.198657086954423
c1ccc2c(c1)[nH]c1ccccc12,CO,3.5399538416563967
c1ccc2c(c1)[nH]c1ccccc12,C1CCOC1,4.764706529687125
O=C1CO[C@H]2CCCC[C@@H]2N1,CC#N,2.3891660843645326
O=C1CO[C@H]2CCCC[C@@H]2N1,CO,3.8100307864058394
NCc1c[nH]c2ccccc12,CO,3.7599698575543075
Cc1cccc2c(=O)ccoc12,CO,4.609999703842231
c1ccc(CCc2ccc[nH]2)cc1,CO,4.158362492095249
CCCCc1ccc(=O)oc1C,CC#N,3.7403626894942437
CCCCc1ccc(=O)oc1C,CO,3.7481880270062002
Cc1nc2ccccc(=O)c2o1,CO,4.439997050795336
O=C1OCCOc2ccccc21,CO,4.45484486000851
Cc1ccccc1OCC1CO1,CO,3.190051417759206
O=c1[nH]cc(I)c(=O)[nH]1,O,3.8599784416420206
O=c1[nH]cc(I)c(=O)[nH]1,CO,3.8750612633917
COC(=O)c1cc(Br)c(Br)[nH]1,CO,4.349277527467955
O=c1ccc2ccccc2n1O,CO,4.5843312243675305
Clc1nc(-c2ccccc2)cs1,CO,4.1303337684950066
Clc1nc(-c2ccccc2)cs1,CO,4.1303337684950066
C(=NN1CCCCC1)c1ccccc1,CO,4.225825991461893
c1cnc2c3c(ccc2c1)CCC3,CO,4.690001046883063
O=C1c2ccccc2-n2nccc21,CO,4.560002326773367
Cc1cc(Cl)nc(-c2ccccc2)n1,CO,3.3010299956639813
O=NN1CCCCC1C(=O)O,CO,4.0
C=CCN1CCCc2ccccc21,CO,3.989983458301399
c1ccc(-c2cnc3ccccc3n2)cc1,CCO,4.390935107103379
c1ccc(-c2cnc3ccccc3n2)cc1,CCCCCCC,4.451786435524291
c1ccc(-c2cnc3ccccc3n2)cc1,CO,4.270003000105059
O=Cc1ccc2[nH]c3ccccc3c2c1,CCO,4.320000804264728
O=Cc1ccc2[nH]c3ccccc3c2c1,CO,4.300008202553813
c1ccc(-c2nc3ccccc3[nH]2)cc1,O,4.369994661608428
c1ccc(-c2nc3ccccc3[nH]2)cc1,CO,4.349997839199033
c1ccc(-c2nc3ccccc3[nH]2)cc1,CC#N,4.280008953108186
c1ccc(-c2nc3ccccc3[nH]2)cc1,C1CCCCC1,4.250005028486895
c1ccc(-c2nc3ccccc3[nH]2)cc1,CCO,4.450002630173186
c1ccc(-c2nc3ccccc3[nH]2)cc1,CCO,4.360006132229098
c1ccc(-c2nc3ccccc3[nH]2)cc1,CO,4.651132578550482
O=c1c2ccccc2[nH]c2ccccc12,CC#N,3.9355072658247128
O=c1c2ccccc2[nH]c2ccccc12,CC#N,4.717670503002262
O=c1c2ccccc2[nH]c2ccccc12,CS(C)=O,4.064457989226918
O=c1c2ccccc2[nH]c2ccccc12,CO,4.999734999532677
CC1(C)[C@@H]2CC[C@@]1(C)C(=S)NC2=S,C1CCCCC1,4.477121254719663
CC1(C)[C@@H]2CC[C@@]1(C)C(=S)NC2=S,CO,4.491361693834273
c1ccc(-c2cn3ccccc3n2)cc1,ClCCl,3.8899736384039962
c1ccc(-c2cn3ccccc3n2)cc1,CC#N,3.929418925714293
c1ccc(-c2cn3ccccc3n2)cc1,C1CCCCC1,3.809963521714014
c1ccc(-c2cn3ccccc3n2)cc1,ClCCl,3.9138138523837167
c1ccc(-c2cn3ccccc3n2)cc1,CCO,4.700002397142254
c1ccc(-c2cn3ccccc3n2)cc1,CO,3.949390006644913
c1ccc(-c2cn3ccccc3n2)cc1,Cc1ccccc1,3.9084850188786495
c1ccc2nc3c(nc2c1)CCCCCC3,CO,4.459996761920238
CC1=N/C(=C\c2ccccc2)C(=O)O1,CC#N,4.425909012675203
CC1=N/C(=C\c2ccccc2)C(=O)O1,ClC(Cl)Cl,4.4610931562106115
CC1=N/C(=C\c2ccccc2)C(=O)O1,C1COCCO1,4.3692158574101425
CC1=N/C(=C\c2ccccc2)C(=O)O1,CO,4.225567713439471
CC(=O)c1cc(/C=C/C(=O)O)oc1C,CO,3.249931756634195
c1ccc(-c2coc(-c3ccccc3)c2)cc1,C1CCCCC1,4.47567118832443
c1ccc(-c2coc(-c3ccccc3)c2)cc1,CO,4.372912002970106
c1cncc(-c2nc3ccccc3[nH]2)c1,NC=O,4.2855348061200305
c1cncc(-c2nc3ccccc3[nH]2)c1,CC#N,4.401400540781544
c1cncc(-c2nc3ccccc3[nH]2)c1,C1CCCCC1,4.311753861055754
