smiles,xrn
BrC1=CC(=O)OC1,1827
CC1=CC2=CC=CC=C2O1,2165
OC(=O)C1=NNC=C1,2400
S1C=CC(=C1)C1=CC=CC=C1,2477
C(OC1=CC=CC=C1)C1CO1,2744
O=C1NC2=C(C=CC=C2)C=C1,2855
O=C1C=CSC2=C1C=CC=C2,2899
O=C1OC2=CC=CC=CC2=C1,2903
CC1=CNN=C1C(O)=O,2908
COC(=O)C1=CNC=N1,2962
CN1C=CC=C2C=CN=C12,2984
CC(=NO)C1=NNC=C1,2987
ClC1=CNC2=CC=CC=C12,3024
S1C=CC=C1C1=CC=CS1,3039
NC1=CC2=C(C=NN2)C=C1,3216
NC1=CC2=C(NN=C2)C=C1,3259
N#C\C(=C/C1=CC=CO1)C#N,3284
N#C\C(=C/C1=CC=CS1)C#N,3286
NC1=C2NN=CC2=CC=C1,3640
O=C1SC2=CC=CC=C2S1,3723
O=C(C1=CC=CS1)C1=CC=CC=C1,3929
N1C2=C(C=CC=C2)C2=C1C=CC=C2,3956
[H][C@]12CCCC[C@]1([H])OCC(=O)N2,4018
NCC1=CNC2=C1C=CC=C2,4082
CC1=C2OC=CC(=O)C2=CC=C1,4171
C(CC1=CC=CC=C1)C1=CC=CN1,4257
CCCCC1=C(C)OC(=O)C=C1,4345
CC1=NC2=C(O1)C(=O)C=CC=C2,4353
O=C1OCCOC2=CC=CC=C12,4464
CC1=C(OCC2CO2)C=CC=C1,4585
IC1=CNC(=O)NC1=O,4891
COC(=O)C1=CC(Br)=C(Br)N1,4918
ON1C(=O)C=CC2=C1C=CC=C2,5076
ClC1=NC(=CS1)C1=CC=CC=C1,5112
C1CCN(CC1)N=CC1=CC=CC=C1,5274
C1CC2=C(C1)C1=C(C=CC=N1)C=C2,5359
O=C1C2=CC=NN2C2=CC=CC=C12,5667
CC1=CC(Cl)=NC(=N1)C1=CC=CC=C1,5889
OC(=O)C1CCCCN1N=O,6262
C=CCN1CCCC2=C1C=CC=C2,6617
C1=CC=C(C=C1)C1=NC2=C(C=CC=C2)N=C1,6741
O=CC1=CC=C2NC3=CC=CC=C3C2=C1,7030
N1C2=CC=CC=C2N=C1C1=CC=CC=C1,7087
O=C1C2=C(NC3=C1C=CC=C3)C=CC=C2,7104
CC1(C)[C@@H]2CC[C@@]1(C)C(=S)NC2=S,7215
C1=C(N=C2C=CC=CN12)C1=CC=CC=C1,7241
C1CCCC2=C(CC1)N=C1C=CC=CC1=N2,7439
CC1=N\C(=C/C2=CC=CC=C2)C(=O)O1,7502
CC(=O)C1=C(C)OC(\C=C\C(O)=O)=C1,7970
