n,RMSE,MAE,R2,model,subset,fold
3751,32.01980801491432,15.42426633164019,0.9072975760877032,rf_tuned,full,0
747,53.969012631709475,24.92535436729938,0.5403907348370169,rf_tuned,lambda500,0
303,71.62554782887045,32.25702568589163,-0.2031083756699188,rf_tuned,lambda600,0
61,41.18072530553066,23.927609437220223,0.600854009893223,rf_tuned,azo,0
1192,23.394563672703654,12.797616734444237,0.9408802116772667,rf_tuned,da,0
422,25.20825974030571,15.210620992558907,0.929369204330287,rf_tuned,dad,0
339,21.578325282049857,10.340503956252073,0.9371789018649934,rf_tuned,bodipy,0
11,14.685733209047351,10.075919398712136,0.8868503258567025,rf_tuned,cyanine,0
0,,,,rf_tuned,squaraine,0
286,22.197948985756774,13.751318738281821,0.9398725923791292,rf_tuned,stilbene,0
1809,37.89380327963743,16.774485304727122,0.894065988824541,rf_tuned,non_local,0
3751,30.743441618012614,14.792160303079086,0.9177398500749679,rf_tuned,full,1
786,51.33862635698084,24.359833922728036,0.6121519152327547,rf_tuned,lambda500,1
320,70.11079287644347,35.03784282560851,-0.14652134800913053,rf_tuned,lambda600,1
49,28.086142976396914,17.782981001948944,0.7488338370943475,rf_tuned,azo,1
1219,24.356524787084062,12.612590012874268,0.938378791668372,rf_tuned,da,1
450,24.34072862848371,13.676504494929565,0.9380386853774421,rf_tuned,dad,1
390,18.881841572640337,9.752470627550787,0.9516235491505671,rf_tuned,bodipy,1
13,16.103692203299705,12.215890353284617,0.8830879548646828,rf_tuned,cyanine,1
0,,,,rf_tuned,squaraine,1
319,30.19797967481554,16.915832372374147,0.9098891383283341,rf_tuned,stilbene,1
1867,36.56044947293896,16.710261014582063,0.9062511442952339,rf_tuned,non_local,1
3750,28.087496446626883,14.469479054732892,0.9307665657486777,rf_tuned,full,2
800,43.1110006620155,22.74592230154597,0.7164179941357384,rf_tuned,lambda500,2
324,53.59489706469353,30.63874123915301,0.24426454347011484,rf_tuned,lambda600,2
59,24.281323345372034,17.033782742196248,0.8160430650844069,rf_tuned,azo,2
1201,24.52413290092054,12.342290813255262,0.9382600901017456,rf_tuned,da,2
422,31.17083166334398,15.710060442952589,0.8872237172189213,rf_tuned,dad,2
349,18.214819899247072,9.070996899938953,0.9512238002401866,rf_tuned,bodipy,2
10,18.08586234299358,16.91971092706,0.8935091314686066,rf_tuned,cyanine,2
0,,,,rf_tuned,squaraine,2
313,28.726814604214308,16.30741284997609,0.9062795257760236,rf_tuned,stilbene,2
1835,31.740980261787254,15.758996348446903,0.9266879272928162,rf_tuned,non_local,2
3751,32.58213626533476,15.556850844194923,0.9080362780437092,rf_tuned,full,3
757,55.808541212748345,27.79982018077474,0.5671356578121625,rf_tuned,lambda500,3
308,75.6024122771596,41.58583025239734,-0.27828137902056604,rf_tuned,lambda600,3
44,29.27596040619154,19.827174663137114,0.7698892129552573,rf_tuned,azo,3
1239,23.932206681821437,11.994396040168443,0.9363451798075079,rf_tuned,da,3
463,25.581557599209017,14.002047828390964,0.9173545398236596,rf_tuned,dad,3
341,23.80072915140439,11.709574532818673,0.9379469016001811,rf_tuned,bodipy,3
12,10.142857953462714,8.673591379416626,0.9472293059375931,rf_tuned,cyanine,3
0,,,,rf_tuned,squaraine,3
318,25.72611346757016,14.101045738157737,0.928449011945178,rf_tuned,stilbene,3
1870,37.836583905682076,17.008221102963205,0.9009674716308359,rf_tuned,non_local,3
3751,33.24825107372211,15.541359245330653,0.9047891251823174,rf_tuned,full,4
796,55.52929649406965,25.97111760258275,0.5494817073916853,rf_tuned,lambda500,4
317,76.42978038542637,37.50255020083087,-0.2844828462298612,rf_tuned,lambda600,4
51,40.31707438265077,27.64494325266954,0.5729022229829734,rf_tuned,azo,4
1208,25.332925291182182,13.129860323975437,0.9351150412406066,rf_tuned,da,4
431,25.888814118495045,13.756446740526757,0.921738870606834,rf_tuned,dad,4
347,28.794269335744083,10.368767561716492,0.9025736612907336,rf_tuned,bodipy,4
13,23.721242059886432,17.75224876423079,0.7145863034402119,rf_tuned,cyanine,4
0,,,,rf_tuned,squaraine,4
301,31.929782831146138,16.548764707251852,0.8944253905313129,rf_tuned,stilbene,4
1847,39.75331767761793,17.46967891744214,0.8908656799382357,rf_tuned,non_local,4
3751,34.553875075501395,20.145316680485625,0.8920439066472732,xgboost_v2,full,0
747,53.72831524466755,28.08367567256526,0.544481232352941,xgboost_v2,lambda500,0
303,70.85006969403389,35.23268476451243,-0.17719768784593914,xgboost_v2,lambda600,0
61,43.60336012578367,26.858901227106813,0.5525096201481343,xgboost_v2,azo,0
1192,26.750309182607396,17.342291344576147,0.9227033658630514,xgboost_v2,da,0
422,27.26012968078612,18.699467135489485,0.9174030133202699,xgboost_v2,dad,0
339,23.144249132715363,15.25688166885601,0.9277303013630146,xgboost_v2,bodipy,0
11,19.76174788350443,18.472517533735797,0.795113781104459,xgboost_v2,cyanine,0
0,,,,xgboost_v2,squaraine,0
286,26.784882161411478,19.752297469225308,0.9124560250609348,xgboost_v2,stilbene,0
1809,39.03448797393462,21.022603897415912,0.8875923163255023,xgboost_v2,non_local,0
3751,33.58263133156167,19.790820615252496,0.9018446506402898,xgboost_v2,full,1
786,51.32015631589418,27.186783611036397,0.6124309363891205,xgboost_v2,lambda500,1
320,70.83369504895784,37.34533169211425,-0.17028646817314774,xgboost_v2,lambda600,1
49,31.248307803495546,23.466989322584503,0.6890934053962472,xgboost_v2,azo,1
