model,subset,n,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std
bigru_tuned,azo,53,38.853,6.28,26.443,3.963,0.58,0.097
bigru_tuned,bodipy,353,27.234,5.494,15.216,2.432,0.905,0.029
bigru_tuned,cyanine,12,17.873,7.675,15.06,6.682,0.848,0.095
bigru_tuned,da,1212,28.139,0.999,15.382,0.444,0.917,0.005
bigru_tuned,dad,438,30.854,2.646,17.627,0.694,0.89,0.023
bigru_tuned,full,3751,34.711,1.567,18.094,0.653,0.894,0.01
bigru_tuned,lambda500,777,52.484,5.898,26.557,2.435,0.588,0.079
bigru_tuned,lambda600,315,69.64,10.777,36.017,5.163,-0.144,0.276
bigru_tuned,non_local,1846,38.956,3.262,19.329,0.939,0.892,0.016
bigru_tuned,squaraine,0,,,,,,
bigru_tuned,stilbene,307,34.524,4.353,18.9,1.415,0.87,0.023
chemberta,azo,53,37.27,4.332,23.016,1.759,0.616,0.046
chemberta,bodipy,353,69.749,8.281,42.902,5.074,0.379,0.079
chemberta,cyanine,12,33.624,6.858,25.118,7.777,0.436,0.291
chemberta,da,1212,43.74,1.611,21.27,0.508,0.798,0.018
chemberta,dad,438,39.483,1.315,21.099,1.126,0.82,0.02
chemberta,full,3751,50.389,2.574,24.306,1.163,0.777,0.021
chemberta,lambda500,777,98.423,6.134,64.897,4.813,-0.439,0.138
chemberta,lambda600,315,148.183,10.013,128.49,9.582,-4.142,0.395
chemberta,non_local,1846,66.095,3.628,34.316,1.775,0.69,0.027
chemberta,squaraine,0,,,,,,
chemberta,stilbene,307,45.774,5.576,25.246,2.622,0.771,0.044
chemprop_v2,azo,53,29.175,4.348,19.801,2.066,0.763,0.054
chemprop_v2,bodipy,353,22.356,1.913,13.525,1.735,0.936,0.01
chemprop_v2,cyanine,12,30.926,4.352,25.362,5.093,0.544,0.18
chemprop_v2,da,1212,23.052,2.67,14.437,1.938,0.944,0.012
chemprop_v2,dad,438,24.046,1.537,15.302,1.619,0.934,0.005
chemprop_v2,full,3751,31.692,3.556,16.836,1.939,0.911,0.018
chemprop_v2,lambda500,777,45.31,7.717,22.259,3.061,0.69,0.092
chemprop_v2,lambda600,314,60.888,15.201,29.003,5.761,0.105,0.362
chemprop_v2,non_local,1846,33.466,4.754,17.148,2.15,0.92,0.02
chemprop_v2,squaraine,0,,,,,,
chemprop_v2,stilbene,307,28.794,5.51,18.526,3.384,0.909,0.027
rf_tuned,azo,53,32.628,7.645,21.243,4.469,0.702,0.108
rf_tuned,bodipy,353,22.254,4.281,10.248,0.973,0.936,0.02
rf_tuned,cyanine,12,16.548,4.963,13.127,4.054,0.865,0.088
rf_tuned,da,1212,24.308,0.72,12.575,0.433,0.938,0.002
rf_tuned,dad,438,26.438,2.709,14.471,0.928,0.919,0.019
rf_tuned,full,3751,31.336,2.036,15.157,0.496,0.914,0.011
rf_tuned,lambda500,777,51.951,5.251,25.16,1.881,0.597,0.072
rf_tuned,lambda600,314,69.473,9.262,35.404,4.341,-0.134,0.219
rf_tuned,non_local,1846,36.757,3.026,16.744,0.626,0.904,0.014
rf_tuned,squaraine,0,,,,,,
rf_tuned,stilbene,307,27.756,3.852,15.525,1.481,0.916,0.018
xgboost_v2,azo,53,34.292,6.084,24.477,2.198,0.674,0.079
xgboost_v2,bodipy,353,24.698,2.875,15.476,1.804,0.922,0.013
xgboost_v2,cyanine,12,27.666,8.751,24.193,6.98,0.618,0.284
xgboost_v2,da,1212,26.96,0.911,17.46,0.333,0.923,0.005
xgboost_v2,dad,438,28.646,2.769,18.909,1.46,0.905,0.021
xgboost_v2,full,3751,33.719,1.765,20.058,0.533,0.9,0.01
xgboost_v2,lambda500,777,51.31,5.32,28.344,2.284,0.607,0.072
xgboost_v2,lambda600,315,67.823,9.328,37.339,4.31,-0.082,0.222
xgboost_v2,non_local,1846,37.715,2.895,21.112,0.729,0.899,0.014
xgboost_v2,squaraine,0,,,,,,
xgboost_v2,stilbene,307,32.205,3.565,21.57,1.44,0.887,0.019
