n,RMSE,MAE,R2,model,subset,fold
3683,30.326599070798295,15.25624589298702,0.920350118717354,rf_tuned,full,0
737,50.19933087689384,25.64958226075255,0.642005530295892,rf_tuned,lambda500,0
312,67.15096421094358,35.918677910869235,-0.031537415480895614,rf_tuned,lambda600,0
56,31.18778246682687,21.47103996901529,0.6547811508600675,rf_tuned,azo,0
1194,25.14644740312265,12.945228475654954,0.9376198803299063,rf_tuned,da,0
437,26.695719269001057,13.612027842357191,0.914446459802992,rf_tuned,dad,0
330,23.664797869417256,10.662185350978294,0.931654668434089,rf_tuned,bodipy,0
8,18.06296219252999,15.244615869012506,0.7909003474479923,rf_tuned,cyanine,0
0,,,,rf_tuned,squaraine,0
314,29.43927658472286,16.53175077670121,0.9180552839445966,rf_tuned,stilbene,0
1773,35.2945686805755,16.856108097691738,0.9138834875195474,rf_tuned,non_local,0
3683,30.463331632382083,15.252274764536601,0.9167986613232877,rf_tuned,full,1
745,50.57118269492243,25.28560087578607,0.5867692245195,rf_tuned,lambda500,1
312,66.2583580149031,35.58183411344615,-0.18756220942124302,rf_tuned,lambda600,1
50,44.25905306326192,26.201986197342947,0.5162487089050423,rf_tuned,azo,1
1156,24.972336244630714,12.57859454751729,0.9296323982888354,rf_tuned,da,1
423,30.481139456687696,15.762770728376577,0.8940361458088408,rf_tuned,dad,1
353,18.505785569614407,9.819636692276354,0.9516424825824399,rf_tuned,bodipy,1
13,21.386699726026407,18.75832386910511,0.8793438813435981,rf_tuned,cyanine,1
0,,,,rf_tuned,squaraine,1
291,28.511664978458764,14.050902204877135,0.9074718865603698,rf_tuned,stilbene,1
1790,36.27588958974719,17.222038548819075,0.9052636834600973,rf_tuned,non_local,1
3683,30.24354309358362,15.15173801101357,0.9191255126251101,rf_tuned,full,2
773,47.635706937041164,23.17876496234304,0.6582262302616612,rf_tuned,lambda500,2
298,68.35173063990294,35.407939442459686,-0.06689837301921742,rf_tuned,lambda600,2
50,28.26820593689497,21.255921984506603,0.7631863810086714,rf_tuned,azo,2
1167,25.010125064632692,12.814200664159554,0.9296774180713491,rf_tuned,da,2
419,25.43229949032533,13.758971747108735,0.9218618454707808,rf_tuned,dad,2
339,20.549263964391297,9.137816826988859,0.9455710752650893,rf_tuned,bodipy,2
11,16.884883006511767,13.788048664130299,0.7923517915189466,rf_tuned,cyanine,2
0,,,,rf_tuned,squaraine,2
291,31.947243920819425,17.560626296155597,0.891451718427713,rf_tuned,stilbene,2
1794,34.43403741412425,15.995280366680209,0.9141687809248222,rf_tuned,non_local,2
3683,32.670072287648914,15.408487845298536,0.9079231122638143,rf_tuned,full,3
801,52.61510015754924,24.970525139679033,0.6071946664498028,rf_tuned,lambda500,3
307,69.16619417061654,31.818497584344456,0.0242077297032256,rf_tuned,lambda600,3
58,26.838842943914088,15.786870195521253,0.7812264496401596,rf_tuned,azo,3
1232,25.58914561740485,13.263351210330542,0.9340379657363469,rf_tuned,da,3
449,26.037777585412638,14.439840662981622,0.9265452274442492,rf_tuned,dad,3
359,21.761616694785996,10.395195103485628,0.9392929395646714,rf_tuned,bodipy,3
14,12.42478424101586,10.341101119157129,0.9339892366404303,rf_tuned,cyanine,3
0,,,,rf_tuned,squaraine,3
291,28.759537156114476,16.772690080457448,0.9078617991381583,rf_tuned,stilbene,3
1887,37.19637614447118,16.674103711824326,0.9030555431000906,rf_tuned,non_local,3
3683,33.80945945590238,15.789125468576042,0.9034359218706539,rf_tuned,full,4
776,58.04242826061156,27.82527879247354,0.5005806534930743,rf_tuned,lambda500,4
326,76.79146476357309,39.3251772133913,-0.4362937636876483,rf_tuned,lambda600,4
50,38.644976538271536,20.598111769451215,0.6928188366966663,rf_tuned,azo,4
1196,24.457290868595376,12.986647122650776,0.9383505663658138,rf_tuned,da,4
453,25.672822117673366,14.337955785602544,0.9232424151875598,rf_tuned,dad,4
333,23.445794484749143,11.047428875985231,0.9305281459567943,rf_tuned,bodipy,4
13,18.199180383156097,14.00090384615385,0.8854642891899611,rf_tuned,cyanine,4
0,,,,rf_tuned,squaraine,4
325,31.258625248876008,16.753745061002,0.8897491341250818,rf_tuned,stilbene,4
1813,40.59422006438057,18.026267281542307,0.8851316882027825,rf_tuned,non_local,4
3683,33.4092046707599,20.270570834477557,0.9033348370313588,xgboost,full,0
737,50.54323737732305,29.245907616391406,0.6370836180746442,xgboost,lambda500,0
312,66.02057059828813,38.22972444664838,0.0028992886246926863,xgboost,lambda600,0
56,33.103437853532974,25.155394417898997,0.6110697663950908,xgboost,azo,0
1194,27.50631676998607,17.638241230590125,0.9253623757066903,xgboost,da,0
437,29.364381895970972,18.17056720351652,0.8964866272685665,xgboost,dad,0
330,27.558536206127695,16.197932295365767,0.9073136995012978,xgboost,bodipy,0
8,21.058482295553617,18.94646453857422,0.7157964481149446,xgboost,cyanine,0
0,,,,xgboost,squaraine,0
314,37.23088567626272,23.353265946077578,0.8689390165726311,xgboost,stilbene,0
1773,36.967530742580344,21.19311816392392,0.9055261615229541,xgboost,non_local,0
3683,32.071698761700794,19.547319672854847,0.9077812045062748,xgboost,full,1
745,47.44979590727234,26.792928761269927,0.6362063327285707,xgboost,lambda500,1
312,60.20385885727015,34.678873038694405,0.019553978675476147,xgboost,lambda600,1
50,39.96936589017927,26.932901611328123,0.6054769171952263,xgboost,azo,1
1156,25.29804657872163,16.481873068034645,0.927784840071046,xgboost,da,1
423,26.999449288370307,18.254789782386784,0.9168609299707492,xgboost,dad,1
353,20.3529432280962,13.5960104815023,0.9415070684218829,xgboost,bodipy,1
13,18.06730874450338,14.286846454326923,0.9138909616853722,xgboost,cyanine,1
0,,,,xgboost,squaraine,1
291,31.39051805255905,20.48832478889202,0.8878432244406332,xgboost,stilbene,1
1790,35.415752882431256,20.510438756458186,0.9097030025703068,xgboost,non_local,1
3683,33.59483604099625,20.638037398663784,0.9002090272683517,xgboost,full,2
773,48.447098953335114,27.71513773753638,0.6464840185469127,xgboost,lambda500,2
298,67.3742764458002,38.299924513380866,-0.036602497361341024,xgboost,lambda600,2
50,34.39350631552707,26.31696044921875,0.649439412621213,xgboost,azo,2
1167,28.2082070666716,18.294927443947156,0.9105430582905945,xgboost,da,2
419,27.37998486699858,18.42914795995208,0.9094354363497303,xgboost,dad,2
339,23.63780535092881,15.05875807680563,0.9279802653209834,xgboost,bodipy,2
11,25.421263970686066,22.793706720525567,0.529319335913951,xgboost,cyanine,2
0,,,,xgboost,squaraine,2
291,38.70707295511978,23.60137592276498,0.8406555948444585,xgboost,stilbene,2
