model,subset,n,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std
bigru_tuned,azo,53,38.858,8.255,25.269,4.384,0.566,0.194
bigru_tuned,bodipy,343,28.79,0.636,15.747,1.412,0.893,0.006
bigru_tuned,cyanine,12,22.15,5.192,18.175,5.471,0.768,0.109
bigru_tuned,da,1189,27.778,1.306,15.593,0.761,0.919,0.005
bigru_tuned,dad,436,29.246,1.92,17.107,0.898,0.901,0.01
bigru_tuned,full,3683,36.197,1.338,18.806,0.644,0.886,0.007
bigru_tuned,lambda500,766,57.449,3.955,29.196,2.478,0.507,0.073
bigru_tuned,lambda600,311,77.142,4.933,40.248,2.221,-0.394,0.142
bigru_tuned,non_local,1811,41.54,2.411,20.444,1.344,0.878,0.014
bigru_tuned,squaraine,0,,,,,,
bigru_tuned,stilbene,302,35.574,5.279,19.21,1.918,0.862,0.04
chemberta,azo,53,45.619,7.068,26.659,4.753,0.424,0.126
chemberta,bodipy,343,78.023,8.502,50.702,7.823,0.208,0.167
chemberta,cyanine,12,42.587,10.748,35.707,10.546,0.206,0.205
chemberta,da,1189,47.259,3.341,23.187,2.194,0.764,0.032
chemberta,dad,436,42.587,4.295,22.677,2.248,0.788,0.044
chemberta,full,3683,54.091,3.988,26.782,2.627,0.744,0.035
chemberta,lambda500,766,105.813,8.458,72.76,8.82,-0.675,0.285
chemberta,lambda600,311,159.065,12.484,141.624,13.944,-4.967,1.071
chemberta,non_local,1811,71.106,5.814,38.221,4.5,0.641,0.06
chemberta,squaraine,0,,,,,,
chemberta,stilbene,302,50.396,6.552,27.907,3.923,0.723,0.072
chemprop,azo,53,37.359,9.225,25.387,6.794,0.617,0.123
chemprop,bodipy,343,22.83,5.026,15.316,4.405,0.93,0.032
chemprop,cyanine,12,30.07,4.123,23.714,3.342,0.576,0.135
chemprop,da,1189,24.542,4.766,15.73,3.704,0.935,0.026
chemprop,dad,436,25.683,5.826,16.559,3.837,0.921,0.038
chemprop,full,3683,33.151,3.653,18.106,3.377,0.904,0.02
chemprop,lambda500,766,47.019,7.785,24.661,6.276,0.665,0.115
chemprop,lambda600,311,63.191,8.667,31.619,6.645,0.049,0.285
chemprop,non_local,1811,35.034,5.655,18.885,4.426,0.912,0.03
chemprop,squaraine,0,,,,,,
chemprop,stilbene,302,33.362,5.906,20.789,3.87,0.877,0.043
rf_tuned,azo,53,33.84,7.395,21.063,3.697,0.682,0.106
rf_tuned,bodipy,343,21.585,2.143,10.212,0.749,0.94,0.009
rf_tuned,cyanine,12,17.392,3.24,14.427,3.03,0.856,0.063
rf_tuned,da,1189,25.035,0.406,12.918,0.25,0.934,0.004
rf_tuned,dad,436,26.864,2.077,14.382,0.85,0.916,0.013
rf_tuned,full,3683,31.503,1.638,15.372,0.251,0.914,0.007
rf_tuned,lambda500,766,51.813,3.907,25.382,1.664,0.599,0.062
rf_tuned,lambda600,311,69.544,4.202,35.61,2.661,-0.14,0.183
rf_tuned,non_local,1811,36.759,2.381,16.955,0.746,0.904,0.012
rf_tuned,squaraine,0,,,,,,
rf_tuned,stilbene,302,29.983,1.536,16.334,1.335,0.903,0.012
xgboost,azo,53,35.607,3.638,25.038,1.997,0.65,0.042
xgboost,bodipy,343,24.467,2.688,15.179,0.99,0.923,0.013
xgboost,cyanine,12,25.549,6.991,22.251,6.156,0.679,0.156
xgboost,da,1189,27.208,1.11,17.539,0.656,0.922,0.007
xgboost,dad,436,28.5,1.328,18.581,0.435,0.906,0.01
xgboost,full,3683,33.92,1.405,20.254,0.454,0.9,0.006
xgboost,lambda500,766,51.2,3.596,28.422,1.277,0.61,0.048
xgboost,lambda600,311,67.627,5.105,37.017,2.007,-0.072,0.14
xgboost,non_local,1811,37.799,2.13,21.211,0.577,0.899,0.01
xgboost,squaraine,0,,,,,,
xgboost,stilbene,302,34.966,3.315,22.481,1.352,0.868,0.021
