canon,solvents,y_true,pred,error,combined_len,truncated
P[W],CS(C)=O,1100.0,514.7113,-585.2886962890625,12,False
CCCCCCCCCCCCc1ccc(-c2ccc(Br)s2)s1,ClC(Cl)Cl,942.0,342.38348,-599.6165161132812,43,False
[Fe+3],ClCCl,941.0,414.76315,-526.2368469238281,12,False
[O-]c1c(-c2ccccc2)cc(-[n+]2c(-c3ccccc3)cc(-c3ccccc3)cc2-c2ccccc2)cc1-c1ccccc1,C[Si](C)(C)C,931.3029316,556.3533,-374.94966011562497,90,False
[O-]c1c(-c2ccccc2)cc(-[n+]2c(-c3ccccc3)cc(-c3ccccc3)cc2-c2ccccc2)cc1-c1ccccc1,CCC(C)C,925.2750809,556.3528,-368.92229769687503,85,False
[O-]c1c(-c2ccccc2)cc(-[n+]2c(-c3ccccc3)cc(-c3ccccc3)cc2-c2ccccc2)cc1-c1ccccc1,C1CCCCC1,925.2750809,556.3535,-368.92156527500003,86,False
c1csc(-c2nnnnc2-c2cccs2)c1,ClCCl,923.0,332.07407,-590.9259338378906,32,False
[O-]c1c(-c2ccccc2)cc(-[n+]2c(-c3ccccc3)cc(-c3ccccc3)cc2-c2ccccc2)cc1-c1ccccc1,CCCCCCCCCC,922.2903226,532.45935,-389.83097201406247,88,False
[O-]c1c(-c2ccccc2)cc(-[n+]2c(-c3ccccc3)cc(-c3ccccc3)cc2-c2ccccc2)cc1-c1ccccc1,CCCCCCCCC,922.2903226,549.0873,-373.20304232656247,87,False
[O-]c1c(-c2ccccc2)cc(-[n+]2c(-c3ccccc3)cc(-c3ccccc3)cc2-c2ccccc2)cc1-c1ccccc1,CCCCCC,922.2903226,525.683,-396.60733920156247,84,False
[O-]c1c(-c2ccccc2)cc(-[n+]2c(-c3ccccc3)cc(-c3ccccc3)cc2-c2ccccc2)cc1-c1ccccc1,CCCCC,922.2903226,525.68304,-396.6072781664062,83,False
[O-]c1c(-c2ccccc2)cc(-[n+]2c(-c3ccccc3)cc(-c3ccccc3)cc2-c2ccccc2)cc1-c1ccccc1,CCCCCCC,919.3247588,551.12256,-368.20220020625004,85,False
[O-]c1c(-c2ccccc2)cc(-[n+]2c(-c3ccccc3)cc(-c3ccccc3)cc2-c2ccccc2)cc1-c1ccccc1,CCCCCCCC,919.3247588,549.08716,-370.23760059687504,86,False
[O-]c1c(-c2ccccc2)cc(-[n+]2c(-c3ccccc3)cc(-c3ccccc3)cc2-c2ccccc2)cc1-c1ccccc1,CCCCCCCCCCCC,919.3247588,556.3533,-362.97148731562504,90,False
[O-]c1c(-c2ccccc2)cc(-[n+]2c(-c3ccccc3)cc(-c3ccccc3)cc2-c2ccccc2)cc1-c1ccccc1,C1CC[C@H]2CCCC[C@H]2C1,916.3782051,551.1227,-365.25552443593745,100,False
Cc1cc(C(C)(C)C)c(OC2=C(C=CC3=C(C#N)C(=C(C#N)C#N)OC3(C)C)CC(C(C)(C)C)CC2=CC=C2N(C)c3ccccc3C2(C)C)c(C(C)(C)C)c1,ClC(Cl)Cl,895.0,533.6267,-361.373291015625,119,False
[O-]c1c(-c2ccccc2)cc(-[n+]2c(-c3ccccc3)cc(-c3ccccc3)cc2-c2ccccc2)cc1-c1ccccc1,CCCCN(CCCC)CCCC,890.6853582999997,551.1238,-339.56157900312473,93,False
[O-]c1c(-c2ccccc2)cc(-[n+]2c(-c3ccccc3)cc(-c3ccccc3)cc2-c2ccccc2)cc1-c1ccccc1,CCN(CC)CC,890.6853582999997,549.0848,-341.6005804679685,87,False
