model,fold,mask_used,n_total_test,n_leaked,leak_rate,rmse_leaked,mae_leaked,r2_leaked,n_novel,rmse_novel,mae_novel,r2_novel,rmse_all,mae_all,r2_all
rf_tuned,0,train,3683,2440,0.6625,15.947507139464774,8.292442339531075,0.9760250446987164,1243,47.17878762490588,28.92614184667367,0.8335867592721657,30.326599070798295,15.25624589298702,0.920350118717354
rf_tuned,1,train,3683,2458,0.6674,16.805598310439326,8.30143893333801,0.9728605707676184,1225,47.152980054257476,29.199339640525285,0.8240525555298789,30.463331632382083,15.252274764536601,0.9167986613232877
rf_tuned,2,train,3683,2469,0.6704,15.300824316943505,8.340472366761471,0.9787752198769074,1214,47.945484156371144,29.004303806448856,0.8054658163255524,30.24354309358362,15.15173801101357,0.9191255126251101
rf_tuned,3,train,3683,2490,0.6761,16.1606955852463,8.355402667749638,0.975383975072704,1193,52.43989263303462,30.12951223096221,0.798408785005255,32.670072287648914,15.408487845298536,0.9079231122638143
rf_tuned,4,train,3683,2451,0.6655,17.603652091404815,8.55654365777316,0.9718280048589685,1232,52.92135414210177,30.177971262632752,0.7919283091708755,33.80945945590238,15.789125468576042,0.9034359218706539
xgboost,0,train,3683,2440,0.6625,21.266930462090972,14.091577239139182,0.9573634733793863,1243,49.1873090700414,32.39989052283286,0.819115875124744,33.4092046707599,20.270570834477557,0.9033348370313588
xgboost,1,train,3683,2458,0.6674,21.046557686173326,13.80752731513521,0.9574347782424463,1225,46.943486948794096,31.064388746548627,0.8256124949215812,32.071698761700794,19.547319672854847,0.9077812045062748
xgboost,2,train,3683,2469,0.6704,21.51709985597707,14.9349158603711,0.9580259366863808,1214,49.82316586686927,32.236890016492964,0.7899304283214171,33.59483604099625,20.638037398663784,0.9002090272683517
xgboost,3,train,3683,2490,0.6761,21.07938347453439,14.15369815689853,0.9581193288399583,1193,52.931461518941546,32.66184491625727,0.7946116594105743,34.755587318442956,20.148870321958256,0.8957923255048988
xgboost,4,train,3683,2451,0.6655,21.725110257210584,14.148002099699418,0.9570922215425117,1232,53.71548676827148,33.62534313755596,0.7856368496107407,35.76699087362116,20.66336570508613,0.8919302985106081
chemprop,0,train+val,3683,2534,0.688,17.79989572688146,11.68623413833343,0.9702970938147175,1149,48.020380589990346,26.210691621698558,0.8287661161432323,30.616826864588145,16.21748628288584,0.9188183133806826
chemprop,1,train+val,3683,2554,0.6935,19.1959875614848,12.070037455972097,0.9648995952147401,1129,46.97211565629804,27.22398646499287,0.8249416756356528,30.526717046777357,16.715383215185906,0.9164520650959049
chemprop,2,train+val,3683,2546,0.6913,16.261913290190083,10.645866673811938,0.9757345107246272,1137,51.19210521092472,27.17968100923019,0.7848566235746197,31.49349441542073,15.750115085261994,0.9123023599341182
chemprop,3,train+val,3683,2575,0.6992,18.25099113621341,12.552851962531175,0.9690305179448351,1108,55.19255500578934,30.22206338794527,0.7747540615615235,33.90159523093981,17.86848765608502,0.9008504587414611
chemprop,4,train+val,3683,2545,0.691,26.72492595477759,18.263537104370315,0.935294091352028,1138,58.13502968755795,36.76535262684534,0.7511216269701082,39.21498177213342,23.980361992933062,0.8700898216408232
bigru_tuned,0,train+val,3683,2534,0.688,19.342638682823033,11.064683544885572,0.9649251787964697,1149,56.542438394579094,33.73570789309165,0.76259624779297,35.42332433037484,18.13745220524093,0.8913283292047839
bigru_tuned,1,train+val,3683,2554,0.6935,22.921845550465186,12.205479234873224,0.9499515803061783,1129,54.583703421967016,34.21740911164678,0.7636103154157412,35.74436528533228,18.95309499128847,0.8854511597275265
bigru_tuned,2,train+val,3683,2546,0.6913,21.057839920328856,12.050631115680309,0.9593113378590981,1137,54.057027927810566,33.086315845774756,0.7601021645830723,34.76572207975556,18.54467769132988,0.8931317463930932
bigru_tuned,3,train+val,3683,2575,0.6992,19.770034254793043,11.654040100613091,0.963660756892085,1108,60.147445184209424,34.60364295809912,0.7324959630428411,36.90025192524461,18.558237756354202,0.8825348323309203
bigru_tuned,4,train+val,3683,2545,0.691,21.69057274449802,12.745155692915029,0.9573761221399839,1138,60.48208600041153,35.693318651617936,0.7306202877769039,38.14982592685394,19.835845197939168,0.8770512081849531
chemberta,0,train+val,3683,2534,0.688,40.424898802207736,17.097181790080068,0.8467988907028351,1149,66.4857777097359,39.156468667619265,0.6717565881232874,50.03388763566945,23.979104304957215,0.7831965389010583
chemberta,1,train+val,3683,2554,0.6935,42.49918252227645,18.369687966254602,0.8279509186734346,1129,68.04658805140508,43.4325366499417,0.6326202350243704,51.69050107727823,26.052543291772583,0.7604495441888771
chemberta,2,train+val,3683,2546,0.6913,48.67225399370151,21.09675442512719,0.782625453998126,1137,69.90663540657697,44.41024309997578,0.598801961663449,56.092057033010974,28.293994887604207,0.7218052446818408
chemberta,3,train+val,3683,2575,0.6992,42.85846069209858,18.139154753550816,0.8292211159191067,1108,70.23074493064284,41.155024215203525,0.6352876075702472,52.61279429599721,25.06328816748272,0.7612006300295446
chemberta,4,train+val,3683,2545,0.691,51.17617130348807,22.942529646428735,0.7627279940328333,1138,76.17835937088942,47.470473588988696,0.5726589702315017,60.02382635979406,30.521351315348973,0.6956407548919519
