canon,n_solvents,lmax_min,lmax_max,lmax_median,span_nm
[O-]c1c(-c2ccccc2)cc(-[n+]2c(-c3ccccc3)cc(-c3ccccc3)cc2-c2ccccc2)cc1-c1ccccc1,334,437.8407351,931.3029316,699.0464548,493.46219649999995
CC(=O)[O-],2,210.0,628.0,419.0,418.0
C1=Cc2nc1c(-c1cccs1)c1ccc([nH]1)c(-c1cccs1)c1nc(c(-c3cccs3)c3ccc([nH]3)c2-c2cccs2)C=C1,2,426.0,661.0,543.5,235.0
CCCCN1C(=O)C(=C/C=C/C=C/C=C2N(CCCC)c3ccccc3N2CCCC)C(=O)N(CCCC)C1=S,9,464.0,689.0,549.0,225.0
C[n+]1ccc(/C=C/c2ccc3cc([O-])ccc3c2)cc1,10,412.0151372,622.0,545.5,209.98486279999997
CC[n+]1ccc2ccccc2c1/C=C/c1c([O-])ccc2ccc(=O)oc12,9,491.7098681,655.0113687999999,603.4424739,163.3015006999999
CN(C)c1ccc(-c2c(/C=C3/C=Cc4ccccc4N3Cc3ccccc3)c(=O)c2=O)cc1,3,358.0,511.0,364.0,153.0
C[n+]1ccc(/C=C/c2ccc([O-])cc2)cc1,12,442.0,595.0,533.5,153.0
CCCCN1/C(=C\c2c(-c3ccc(N(C)C)cc3)c(=O)c2=O)C=Cc2ccccc21,3,357.0,509.0,361.0,152.0
CN(C)c1ccc(-c2c(/C=C3/C=Cc4ccccc4N3C)c(=O)c2=O)cc1,3,358.0,509.0,362.0,151.0
CCCN1/C(=C\c2c(-c3ccc(N(C)C)cc3)c(=O)c2=O)C=Cc2ccccc21,3,358.0,509.0,362.0,151.0
CCN1/C(=C\c2c(-c3ccc(N(C)C)cc3)c(=O)c2=O)C=Cc2ccccc21,3,359.0,509.0,362.0,150.0
CC1(C)C(/C=C/c2cc3ccc(O)cc3oc2=O)=[N+](CCCS(=O)(=O)[O-])c2ccc3c(S(=O)(=O)O)cc(S(=O)(=O)O)cc3c21,3,495.0,643.0,578.0,148.0
CC(C)(C)c1ccc(-c2nc3c4ccc(-c5cc6ccccc6c6ccccc56)cc4c4cc(-c5cc6ccccc6c6ccccc56)ccc4c3n2-c2ccc(C(C)(C)C)cc2)cc1,13,234.0,379.0,325.0,145.0
CC1(C)C(/C=C/c2cc3ccc(O)cc3oc2=O)=[N+](CCCS(=O)(=O)[O-])c2ccc(S(=O)(=O)O)cc21,3,485.0,630.0,573.0,145.0
CC[n+]1c(/C=C/c2c([O-])ccc3ccc(=O)oc23)sc2ccccc21,9,492.7553238,623.5680139,590.5606257999998,130.8126901
O=C1/C(=C/C=C/c2cc3c4c(c2)CCCN4CCC3)CC/C1=C\C=C\c1cc2c3c(c1)CCCN3CCC2,18,457.0,584.0,529.5,127.0
CN(C)c1ccc(N2c3sc4ccccc4c3Sc3sc4ccccc4c32)cc1,2,319.0,444.0,381.5,125.0
CCCCN1C(=O)C(=C/C=C/C=C2N(CCCC)c3ccccc3N2CCCC)C(=O)N(CCCC)C1=S,6,452.0,575.0,554.5,123.0
CCCCN1C(=O)c2cccc3c(OC)ccc(c23)C1=O,3,362.0,484.0,376.0,122.0
CCCCOc1ccc(/C=C/C=C/C=C/c2ccc([N+](=O)[O-])cc2)cc1,5,413.0,531.0,420.0,118.0
CCCCN1C(=O)c2cccc3c([O-])c(/C=C/c4sc5ccccc5[n+]4CC)cc(c23)C1=O,10,489.4899536,607.2642967999999,569.6483771000001,117.77434319999992
CC(=O)c1ccc(/N=N/c2ccc(Nc3ccccc3)cc2)cc1,9,427.0,544.0,438.0,117.0
CCOc1ccc(/C=C/C=C/C=C/c2ccc([N+](=O)[O-])cc2)cc1,5,412.0,525.0,419.0,113.0
CCCCN(CCCC)c1ccc2nc3c4ccccc4c(=O)c(OC(=C(C(F)(C(F)(F)F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F)c-3oc2c1,2,577.0,690.0,633.5,113.0
C[n+]1ccc(/C=C/c2ccc(N(c3ccccc3)c3ccc(/C=C/c4cc[n+](C)cc4)cc3)cc2)cc1,3,402.0,509.0,496.0,107.0
N#Cc1c(-c2cccs2)cc(-c2ccc3c(c2)Cc2ccccc2-3)[nH]c1=O,7,343.0,449.0,394.0,106.0
O=[N+]([O-])c1ccc(NCCN(Cc2c3ccccc3cc3ccccc23)c2ccc([N+](=O)[O-])cc2[N+](=O)[O-])c([N+](=O)[O-])c1,8,267.0,372.0,368.5,105.0
CN(C)c1ccc2cc3c(cc2c1)OCCN=C3,9,353.0,456.0,362.0,103.0
c1csc(-c2ccc(-c3cccs3)s2)c1,3,351.0,453.0,355.0,102.0
CCCCN(CCCC)c1ccc2nc3c4ccccc4c(=O)c(-c4cccc5ccccc45)c-3oc2c1,2,552.0,654.0,603.0,102.0
COc1ccc2c(-c3nc(-c4cccc(Br)c4)no3)cc(=O)oc2c1,2,259.0,360.0,309.5,101.0
