radius,n_bits,n_estimators,max_depth,min_samples_leaf,max_features,RMSE,MAE,R2,Pearson_r,time_s
2,2048,1000,,1,0.3,31.69,15.61,0.9132,0.9562,265.0
2,2048,500,,1,0.3,31.79,15.63,0.9127,0.9559,129.2
2,2048,300,,1,0.3,31.8,15.62,0.9126,0.9559,92.3
2,1024,1000,,1,0.3,31.82,15.98,0.9125,0.9561,122.9
2,1024,500,,1,0.3,31.84,15.99,0.9124,0.956,58.0
2,1024,300,,1,0.3,31.86,16.03,0.9123,0.9559,26.3
2,1024,1000,50.0,1,0.3,32.07,16.44,0.9111,0.9554,117.1
2,1024,300,50.0,1,0.3,32.13,16.51,0.9108,0.9552,29.5
2,1024,500,50.0,1,0.3,32.17,16.49,0.9106,0.9551,63.3
2,2048,1000,,2,0.3,32.58,16.59,0.9083,0.9539,245.7
2,2048,500,,2,0.3,32.69,16.64,0.9077,0.9536,125.2
2,2048,300,,2,0.3,32.69,16.67,0.9076,0.9536,92.6
2,2048,1000,50.0,1,0.3,32.7,17.06,0.9076,0.9534,248.6
2,2048,500,50.0,1,0.3,32.77,17.09,0.9072,0.9532,122.5
3,2048,300,,1,0.3,32.89,16.25,0.9065,0.953,94.9
2,2048,300,50.0,1,0.3,32.89,17.15,0.9065,0.9528,74.0
2,1024,500,,2,0.3,32.91,16.97,0.9064,0.9532,65.7
3,2048,1000,,1,0.3,32.92,16.23,0.9063,0.9529,279.5
2,1024,300,,2,0.3,32.92,16.99,0.9064,0.9531,26.2
2,1024,1000,,2,0.3,32.93,16.98,0.9063,0.9531,120.3
3,2048,500,,1,0.3,32.95,16.24,0.9061,0.9528,145.3
2,1024,300,50.0,2,0.3,32.99,17.34,0.9059,0.953,27.3
2,1024,1000,50.0,2,0.3,33.0,17.31,0.9059,0.953,116.1
2,1024,500,50.0,2,0.3,33.03,17.32,0.9057,0.9529,70.0
2,2048,1000,50.0,2,0.3,33.19,17.68,0.9048,0.9523,255.3
2,2048,300,50.0,2,0.3,33.21,17.75,0.9047,0.9522,74.7
2,2048,500,50.0,2,0.3,33.26,17.69,0.9044,0.952,124.1
3,1024,300,,1,0.3,33.33,16.98,0.904,0.952,37.1
3,2048,1000,50.0,1,0.3,33.34,17.14,0.9039,0.9518,283.4
3,2048,300,50.0,1,0.3,33.35,17.16,0.9039,0.9517,83.0
3,1024,1000,,1,0.3,33.41,16.96,0.9036,0.9518,116.9
3,1024,500,,1,0.3,33.43,16.99,0.9034,0.9517,61.5
3,2048,500,50.0,1,0.3,33.43,17.19,0.9034,0.9515,137.9
3,1024,1000,50.0,1,0.3,33.49,17.12,0.9031,0.9516,117.1
3,1024,500,50.0,1,0.3,33.55,17.14,0.9027,0.9514,63.5
3,2048,1000,,2,0.3,33.6,16.99,0.9025,0.9511,276.8
3,1024,300,50.0,1,0.3,33.64,17.21,0.9022,0.9511,36.5
3,2048,300,,2,0.3,33.71,17.02,0.9018,0.9507,96.7
3,2048,500,,2,0.3,33.74,17.01,0.9016,0.9506,136.8
2,2048,300,,1,sqrt,33.89,18.17,0.9008,0.9515,11.5
2,2048,1000,,1,sqrt,33.91,18.14,0.9006,0.9516,33.2
3,2048,300,50.0,2,0.3,33.91,17.76,0.9006,0.9503,76.5
2,2048,500,,1,sqrt,33.92,18.18,0.9005,0.9515,15.1
3,2048,500,50.0,2,0.3,33.99,17.74,0.9001,0.95,127.9
3,2048,1000,50.0,2,0.3,33.99,17.72,0.9002,0.95,267.5
2,1024,500,30.0,1,0.3,34.25,19.46,0.8986,0.9492,63.9
2,1024,1000,30.0,1,0.3,34.26,19.5,0.8986,0.9492,111.2
2,1024,300,30.0,1,0.3,34.31,19.53,0.8983,0.949,22.5
3,1024,1000,,2,0.3,34.45,17.67,0.8974,0.9489,110.6
3,1024,1000,30.0,1,0.3,34.47,18.88,0.8973,0.9489,110.8
3,1024,500,30.0,1,0.3,34.53,18.93,0.8969,0.9487,55.5
3,1024,500,,2,0.3,34.54,17.7,0.8969,0.9486,58.9
3,1024,1000,50.0,2,0.3,34.54,17.82,0.8969,0.9486,114.6
2,1024,1000,,1,sqrt,34.59,18.62,0.8966,0.9499,25.7
3,1024,300,30.0,1,0.3,34.61,18.96,0.8965,0.9484,33.4
3,1024,300,,2,0.3,34.61,17.73,0.8965,0.9484,35.9
3,1024,500,50.0,2,0.3,34.66,17.86,0.8962,0.9483,53.7
2,1024,300,,1,sqrt,34.68,18.73,0.8961,0.9497,3.8
2,1024,500,,1,sqrt,34.68,18.67,0.896,0.9496,6.9
3,1024,300,50.0,2,0.3,34.72,17.93,0.8958,0.9481,29.8
2,1024,300,30.0,2,0.3,35.01,20.02,0.894,0.947,22.5
2,1024,1000,30.0,2,0.3,35.01,20.04,0.8941,0.9471,116.6
2,1024,500,30.0,2,0.3,35.02,20.02,0.894,0.947,56.6
3,1024,1000,30.0,2,0.3,35.4,19.38,0.8917,0.9462,108.9
3,1024,300,30.0,2,0.3,35.5,19.37,0.8911,0.9458,33.1
2,1024,1000,50.0,1,sqrt,35.51,19.87,0.891,0.9474,22.2
3,1024,500,30.0,2,0.3,35.51,19.39,0.891,0.9458,52.5
2,1024,500,50.0,1,sqrt,35.51,19.89,0.891,0.9473,9.0
2,1024,300,50.0,1,sqrt,35.53,19.96,0.8909,0.9472,4.8
3,2048,1000,,1,sqrt,35.71,18.62,0.8898,0.947,35.5
3,2048,500,,1,sqrt,35.76,18.65,0.8895,0.9467,19.4
3,2048,300,,1,sqrt,35.8,18.73,0.8893,0.9466,14.8
3,2048,1000,30.0,1,0.3,36.03,20.84,0.8878,0.9437,250.6
3,2048,300,30.0,1,0.3,36.09,20.86,0.8875,0.9434,86.0
3,2048,500,30.0,1,0.3,36.13,20.86,0.8872,0.9433,123.5
2,2048,1000,30.0,1,0.3,36.29,21.46,0.8862,0.9425,214.7
2,2048,300,30.0,2,0.3,36.4,21.67,0.8855,0.9425,63.4
2,2048,500,30.0,1,0.3,36.4,21.51,0.8855,0.9421,109.1
2,2048,1000,30.0,2,0.3,36.41,21.66,0.8854,0.9424,229.4
2,2048,300,30.0,1,0.3,36.44,21.56,0.8853,0.942,81.1
3,2048,1000,30.0,2,0.3,36.46,21.16,0.8851,0.9424,228.3
2,2048,500,30.0,2,0.3,36.47,21.63,0.885,0.9422,109.1
3,2048,300,30.0,2,0.3,36.48,21.19,0.885,0.9424,75.7
3,1024,1000,,1,sqrt,36.51,19.44,0.8848,0.9449,17.3
3,2048,500,30.0,2,0.3,36.53,21.18,0.8847,0.9422,116.8
3,1024,300,,1,sqrt,36.54,19.43,0.8846,0.9448,6.3
3,1024,500,,1,sqrt,36.55,19.43,0.8845,0.9447,8.8
2,2048,1000,,5,0.3,36.71,20.59,0.8835,0.9419,232.7
2,2048,300,,5,0.3,36.72,20.6,0.8835,0.9418,85.2
2,2048,500,,5,0.3,36.74,20.61,0.8834,0.9418,113.1
2,2048,1000,50.0,1,sqrt,36.95,21.84,0.882,0.9429,32.8
2,2048,1000,50.0,5,0.3,37.0,21.06,0.8817,0.941,212.7
