Rank,Bit,Importance (%),Std (%),Chemical Label,Top SMILES Fragment,Frequency,Mean λ_max WITH (nm),Mean λ_max WITHOUT (nm),Δλ_max (nm)
1,463,13.01,0.426,Aryl diazo / hydrazine,ccc(cc)N(C)N,465,543.4,400.6,142.8
2,554,6.16,0.328,BODIPY core (B–N⁺),[B-][N+](=C)C,244,571.2,409.6,161.6
3,148,3.85,0.085,Boron heterocycle (B–N),[B-]n(c)c,233,582.8,409.2,173.6
4,1818,1.9,0.213,—,[N+][B-](n)(F)F,238,577.3,409.4,168.0
5,1317,1.73,0.131,—,C=[N+](C)[B-](F)(F)n(c)c,176,601.3,411.6,189.7
6,1346,1.6,0.227,—,C=C(C)[N+](=C(C)C)[B-](n)(F)F,36,522.0,421.5,100.5
7,294,1.57,0.091,Alkyl chain (C–C),CC,856,438.7,416.3,22.4
8,1682,1.4,0.076,—,CNC(C)(C)C,345,542.7,407.1,135.6
9,1052,1.38,0.111,Iminium (C=N⁺),CC(C)=[N+],55,594.1,419.5,174.5
10,593,1.23,0.273,Phosphonium ylide,C=C(c)[P+](C)(c(c)c)c(c)c,3,487.2,422.7,64.5
11,49,1.18,0.08,—,ccc(c(c)-c)c(c)c,20,519.4,422.1,97.4
12,1955,0.97,0.045,Enamine (C=C–N),C=C(C)N,69,560.5,419.5,141.0
13,84,0.81,0.16,Vinyl / conjugation (C=C–C),C=CC,292,515.3,412.7,102.6
14,1476,0.76,0.03,Sulfoxide (S=O),O=S,185,474.9,419.3,55.7
15,314,0.73,0.094,Carbonyl (C=O),C=O,668,426.5,421.6,4.8
16,1984,0.7,0.066,Aromatic ring (Ar),cc(c)c,433,429.9,421.5,8.4
17,694,0.68,0.036,Aryl nitrile (Ar–C≡N),ccc(C#N)c(c)c,722,440.5,417.1,23.4
18,1594,0.59,0.119,—,C=C(c)c,243,546.6,411.8,134.8
19,1612,0.58,0.042,—,[B-]OC,118,533.1,418.2,114.9
20,1790,0.57,0.09,—,cc(c)C(C(c)=[N+])=C(c)C,7,574.9,422.4,152.6
